reviewer_name,rating,title,body,date
Sisy,1,Instead of charging me a yearly…,Instead of charging me a yearly membership fee of $150.75 they charged me monthly for a whole 12 months. Once I contacted them about it they said it was a glitch in their system. They reimbursed me for 3 months $139 cutting off the $11.75 tax portion of the $150.75. They still owe me $1400 from overcharges. On top of that they closed my account and told me in order to open it again I would need to make a payment. What? you owe me $1700 and want me to pay you more? How does this makes nay sense?,2026-04-05
Tumelo Kutumela,1,Unreliable,"Placed an order in South Africa for the past five months no delivery, I don’t think I’ll ever get the order I can’t even get my money back",2026-04-05
robert broadbent,1,Pathetic,"I don’t like being lied to Amazon has lied to me about next day delivery twice.I made an order for 2 items which stated next day delivery but after it went through payment, it stated delivery in 4 DAYS!I cancelled and re-ordered individually and it clearly stated next day.It’s now stating a delay and cannot now be deliveredLYING, LYING, COMPANY.",2026-04-05
Sandy Peters,1,The WORST customer service ever,"The WORST customer service ever! Had fraud on my account where a person put a passkey on my account, puchased a bunch of gift cards and now I cannot log in because the passkey is not connected to my phone! I have called 7 times and all they can say is they will send an email. Then the emails tell me to sign in...which is impossible with the erroneous passkey. Account still not working! Horrible customer service.",2026-04-05
Thomas Walters,1,If I could leave 0 stars I would,If I could leave 0 stars I would. Was on the chat for over an hour to get my delivery sorted out as it did not arrived today.  Not very helpful been with Amazon for years plus a prime member. They don't seem to care about customers. They like to take your money and not deliver goods. Bad show by Amazon.,2026-04-05
David Kunsman,1,Absolutely fed up with Amazon,"Absolutely fed up with Amazon. Been a prime member for many years. I really can’t justify paying for a prime membership any longer. Almost every time I order something the last year or two it is late. Yesterday I placed an order that was supposed to be delivered today. Get up this morning and Amazon has now changed the delivery date to 7days from now. No notification, no reasoning. Next day and two day delivery has become a joke. Most frustrating thing is how difficult they make it to give feedback. They make it easy enough to give feedback on the sellers but NOT to give feedback on the Amazon company itself. I think I’m done with Amazon. Too many other options out there today to justify continued use. They have turned a brilliant concept with excellent delivery into a joke",2026-04-05
Leonzo,1,If I could leave 0 stars I would,If I could leave 0 stars I would. Amazon ruined Easter. The silverware and cooking utensils aren’t coming today! When I called they said they no control over shipping and can’t tell me what happened.,2026-04-05
Shamhan,1,Unsafe Delivery and Missing Item,"Amazon delivery left my parcel sticking out of the letterbox, clearly visible from outside. The item was stolen and Amazon still marks it as delivered.This is not secure delivery. Customers should not be held responsible for unsafe delivery practices.",2026-04-05
Gary Jones,2,Delivery options,"Spent lots with this company but recently the stated delivery times fail ,next day delivery option and 4 days later still waiting and can't even cancel the order,will not be using again and wouldn't recommend to anyone Delivery  drivers aren't much better half they don't even knock on the door just leave parcel on step take photo and go,poor services all round.",2026-04-05
HASTE TO AID - APOLOGIES,2,"In search of shoes, this soul wandered through the ""Source Of Hope"".","Steel Toe Cap Trainers Work Safety TrainersBrand :BAGHUYA soul once laboured beneath the weight of endless toil, the purse reduced to withered husk, graced only by meagre offerings drawn from the land. Sickness came as ravenous beast, consuming what little coin could be scraped together, leaving the spirit battered and the pockets bare. the lovely shades of periwinkle and rose whispered of expenses scarcely afforded, pressing down upon what little remained.In search of shoes, this soul wandered through the ""Source Of Hope"". The green boots came first, yet my boy stumbled and fell in them far too often. Then came the temptation of fashionable white ones, so stylish and so desired, but the very stones seemed to cling to them, a constant annoyance with every hurried stride.Now, these boots: steel-toed and broad, a promised sanctuary. Yet, even as held, a protest arose. His toes were cramped, confined, pinched. Hark, crimson doth approach! They vowed protection, a shield from harm. But could this pledged safety keep him whole?The makers spoke of guarding against the sharp teeth of hard labour, of warding off every painful prick. Their word was taken, trusting they would spare Nick this trial. Light as a whisper, they claimed, feather-light and weightless. In this, at least, a truth. He found them light, delightfully light.Their soles gripped treacherous paths, clinging to anything that might send him sprawling. Young Nick had held his footing thus far.Yet still, a bitter truth gnawed away: that choosing the cheaper path, driven by desperation, often leads to far greater ruin than a modest, initial investment. It was painfully clear, and in that clarity burned a fire within those who simply tried to survive, to make their way, one struggling page at a time.",2026-04-05
